Date,Question,Answer,Specialty,Diagnosis,Emergency,Pharmacology
"February 26, 2018",What are the antibiotics for meningitis?,"<1 month: Ampicillin + Cefotaxime or Gentamicin 
<50 years: Vancomycin + Ceftriaxone or Cefotaxime or Meropenem 
>50 years:  Ampicillin + Vancomycin + Ceftriaxone or Cefotaxime",Infectious Diseases,,,
"February 26, 2018",When should we give Dexamethasone in meningitis?,"Typically, adjuvant dexamethasone is recommended in all previously well and non-immunosuppressed adults and children. It should not be given to immunocompromised patients, those who have already received antimicrobial therapy, or patients aged <1 month. 
 Corticosteroids reduce severe hearing loss in children with Hib meningitis. For adults, Dexamethasone should only be continued if the CSF Gram stain and/or the CSF or blood cultures reveal Streptococcus pneumoniae.",Infectious Diseases,,,
"February 26, 2018",What is the differential diagnosis of painless vision loss? ,"Retinal detachment, retinal artery occlusion, retinal vein occlusion, amaurosis fugax, and occipital stroke",Ophthalmology,,,
"February 26, 2018",What are the normal levels of carboxyhemoglobin?,Normal CO-Hb levels are around 1% to 3% and in smokers up to 10%.,Pulmonology,,,
"February 26, 2018",What are the readings of pulse oximetry in carbon monoxide poisoning?,Standard pulse oximetry readings are usually falsely raised as they cannot distinguish between CO-Hb and oxyhaemoglobin.,Pulmonology,,,
"February 26, 2018",What are the antibiotics for UTI?,"Infants <6 weeks: Intravenous Ampicillin + Cefotaxime or Gentamicin 
Older children (systematicly stable): Oral Amoxicillin/Clavulanic acid or Trimethoprim/Sulfamethoxazole
Adult males: Ciprofloxacin or Trimethoprim/Sulfamethoxazole  or Amoxicillin/Clavulanic acid or Nitrofurantoin or Cefalexin
Adult females (both for pregant and non-pregnant women):   Nitrofurantoin or Amoxicillin/Clavulanic acid or Cefalexin",Infectious Diseases,,,
"February 27, 2018",Which criteria can give an indication of the likelihood of a sore throat being due to bacterial infection?,Patients with ≥3 Centor criteria are generally needed to be tested for GAS pharyngitis.,Infectious Diseases,,,
"February 27, 2018",What are the components of Centor criteria?,"Tonsillar exudates
Tender anterior cervical lymphadenopathy
Fever
Absence of cough ",Infectious Diseases,,,
"February 27, 2018",Which criteria can be utilized by physicians to avoid further testing for Pulmonary Embolism?,"It is the Pulmonary Embolism Rule-out Criteria. All eight  PERC must be fulfilled to exclude PE. However, PERC is only valid in clinical settings (typically the ED) with a low prevalence of PE (<15 percent).",Pulmonology,,,
"February 27, 2018",Which criteria can risk stratifies patients for pulmonary embolism and provide an estimated pre-test probability? ,It is the Well's criteria. The physician can then chose what further testing is required for diagnosis PE (I.E. D-dimer or CT angiogram). ,Pulmonology,,,
"February 27, 2018",What are the components of Well's criteria? ,"Clinical symptoms of DVT (leg swelling, pain with palpation) 3.0
Other diagnosis less likely than pulmonary embolism 3.0
Heart rate >100 1.5
Immobilization (≥3 days) or surgery in the previous four weeks 1.5
Previous DVT/PE 1.5
Hemoptysis 1.0
Malignancy 1.0",Pulmonology,,,
"February 27, 2018",What is the simplified risk stratification of Well's criteria?,"PE likely >4.0
PE unlikely ≤4.0",Pulmonology,,,
"February 27, 2018",List two pathogenic obligate intracellular bacteria.,"Rickettsia rickettsii
Chlamydia trachomatis",Infectious Diseases,,,
"February 27, 2018",List two pathogenic acid fast bacteria.,"M. tuberculosis
M. leprae",Infectious Diseases,,,
"February 27, 2018",What is the causative agent in syphilis?,The spiral shaped bacteria Treponema pallidum,Infectious Diseases,,,
"February 27, 2018",What are the aerobic gram-positive cocci? ,"Staphylococci, Streptococci, and Enterococci.",Infectious Diseases,,,
"February 27, 2018",What is the coagulase +ve Staphylococcus? ,Only S. aureus. S. epidermidis and S. saprophyticus are coagulase -ve. ,Infectious Diseases,,,
"February 27, 2018",What are the alpha-hemolytic Streptococci?,"S. pneumoniae
Viridans group Strep",Infectious Diseases,,,
"February 27, 2018",What are the beta-hemolytic Streptococci?,"Group A Strep (S. pyogenes)
Group B Strep (S. agalactiae)",Infectious Diseases,,,
"February 27, 2018",What are the aerobic gram-negative cocci? ,Neisseria and Moraxella,Infectious Diseases,,,
"February 27, 2018",Are Bacteroides gram-positive or gram-negative bacteria?,They are anaerobic gram-negative bacilli.,Infectious Diseases,,,
"February 27, 2018",What are the most common medications that cause constipation? ,"Narcotics, antidepressants and calcium channel blockers.",Gastroenterology,,,
"February 27, 2018",What are the serological markers for inflammatory bowel diseases?,Perinuclear antineutrophil cytoplasmic antibodies (pANCAs) are found in 70% of UC patients. Anti-Saccharomyces cerevisiae antibodies (ASCAs) are found in 70% of CD patients.,Gastroenterology,,,
"February 27, 2018",What is the diagnostic criteria of irritable bowel syndrome?,"Rome IV criteria:
Recurrent abdominal pain or discomfort, on average at least 1 day per week in the last 3 months and associated with ≥2 of the following criteria:
 1. Related to defecation
 2. Associated with a change in frequency of stool
3.  Associated with a change in form (appearance) of stool.",Gastroenterology,,,
"February 27, 2018",What are the most common causes of lower GI bleeding? ,"The most common causes are: (HAND)
I. Hemorrhoids or anal fissure
II. Angiodysplasia
III. Neoplastic lesions 
IV. Diverticular disease
",Gastroenterology,,,
"February 27, 2018",What is the main diagnostic marker for primary sclerosing cholangitis?,"The hallmark diagnostic marker is ALP with p-ANCA (30-80%), and elevated IgM (40-50%). ",Gastroenterology,,,
"February 27, 2018",What are the antibodies that have 95 sensitivity and specify for primary biliary cholangitis?,Anti-mitochondrial antibodies,Gastroenterology,,,
"February 27, 2018",What is the differential diagnosis for very high amylase levels (>5 times of upper normal levels)?,"When serum amylase >5x normal, the cause is almost always pancreatitis or renal disease. ",Gastroenterology,,,
"February 27, 2018",What are the sites of actions of the different types of diuretics? ,Osmotic diuretics work on proximal tubules. Thiazide diuretics work on distal ones. K+ sparing diuretics work on collecting ducts.,Nephrology,,,Yes
"February 27, 2018",What is the differential diagnosis for persistent alkali urine pH?,"If urine ph persistently alkaline, consider: RTA or UTI with urease-producing bacteria (e.g. Proteus).",Nephrology,,,
"February 27, 2018",What are the nitrite negative bacteria? ,Nitrite negative bacteria include enterococci and staphylococci.,Infectious Diseases,,,
"February 27, 2018",What are the causes of renal artery stenosis? ,It is caused by atherosclerotic changes (90%) (proximal 1/3) or fibromuscular dysplasia (young females). ,Nephrology,,,
"February 27, 2018",What is the most common cause of secondary hypertension?,Renal artery stenosis,Nephrology,,,
"February 27, 2018",What is the genetic test for polycythemia vera?,JAK-2 mutation analysis is positive in >96% of cases of PV. Only send if low/normal erythropoietin level.,Hematology,,,
"February 27, 2018",What is pathognomonic for AML?,Auer rods ,Hematology,,,
"February 27, 2018",What are the characteristics cells of CLL?,Smudge cells,Hematology,,,
"February 27, 2018",What are the acute phase reactants?,"The acute phase reactants are ESR, CRP, ferritin, albumin, fibrinogen, and platelets.",Rheumatology,,,
"February 27, 2018",What are the differences between gout and pseudogout? ,"Gout (monosodium urate) gives needle-shaped, negatively birefringent (bright yellow). Pseudogout (calcium pyrophosphate dihydrate) gives rhomboid-shaped, positively birefringent (pale blue).",Rheumatology,,,
"February 27, 2018",What are the radiological hallmarks for osteoarthritis?,"The Radiographic Hallmarks of OA:
a. Joint space narrowing
b. Subchondral sclerosis
c. Subchondral cysts
d. Osteophytes
",Rheumatology,,,
"February 28, 2018",What is the definition of status epilepticus?,"Generalized convulsive and non-convulsive status epilepticus (SE) are neurological and medical emergencies defined as 5 or more minutes of either continuous seizure activity or repetitive seizures with no intervening recovery of consciousness. Traditionally SE was defined as 30 or more minutes; however, this time frame has been reduced to 5 minutes to emphasise the seriousness of the condition and the need to treat it urgently.",Neurology,,,
"March 2, 2018",What are the lines of status epilepticus acute management? ,"1st line: securing the airway + 100% oxygen + thiamine (for adults) + glucose (if hypoglycemic) + Lorazepam or Diazepam or Midazolam 
2nd line: Phenytoin or Valproic acid or Levetiracetam 
3rd line: Phenobarbital 
4th line: General anesthesia using Midazolam or Propofol or Phenobarbital",Neurology,,,
"March 2, 2018",What is the most sensitive test for confirming the diagnosis of SLE when accompanied by typical clinical findings?,Antinuclear antibodies,Rheumatology,,,
"March 2, 2018",What are the most specific tests for SLE? ,Anti-dsDNA and anti-Smith antibodies ,Rheumatology,,,
"March 2, 2018",What are the markers for disease activity in SLE? ,Anti-dsDNA antibodies,Rheumatology,,,
"March 2, 2018",What is the diagnostic criteria of SLE?,"Any ≥4 of the 11 criteria are required to classify a patient as having SLE. These criteria can be present serially or simultaneously during any interval of observation. 
MD SOAP BRAIN
1. Malar rash 
2. Discoid rash 
3. Photosensitivity 
4. Oral ulcers
5. Arthritis 
6. Serositis 
7. Renal disorder
8. Neurological disorder 
9. Hematogical disorder 
10. Immunological disorder 
11. Anti-nuclear antibody",Rheumatology,,,
"March 2, 2018",What is the definition of primary amenorrhea?,"Lack of menses by age 15 years in a patient with appropriate development of secondary sexual characteristics, or absent menses by age 13 years and no other pubertal maturation.",Gynecology,,,
"March 2, 2018",What is the definition of secondary amenorrhea?,Lack of menses in a non-pregnant female for at least 3 cycles or 6 months in a patient who was previously menstruating.,Gynecology,,,
"March 2, 2018",What is the differential diagnosis of secondary amenorrhea? ,"Hyperprolactinaemia
Hypothyroidism
Polycystic ovary syndrome
Anorexia nervosa
Emotional stress 
Idiopathic premature ovarian failure
Sheehan's syndrome (postpartum pituitary necrosis)
Asherman's syndrome",Gynecology,,,
"March 2, 2018",What are the causes of microcytic anemia? ,"Thalassemia
Anemia of chronic disease
Iron deficiency
Lead poisoning
Sideroblastic anemia",Hematology,,,
"March 2, 2018",What are the iron indices?,"serum ferritin
serum iron
total iron binding capacity
saturation
soluble transferrin receptor",Hematology,,,
"March 3, 2018",What are the causes of hypoalbuminemia?,"Hepatic: cirrhosis causing hypoalbuminaemia
Renal: nephrotic syndrome causing hypoalbuminaemia
Gastrointestinal tract: malabsorption, starvation, protein-losing enteropathy causing hypoalbuminaemia ",Gastroenterology,,,
"March 3, 2018",What are the causes of pitting lower limb edema?,"Cardiac: congestive cardiac failure, constrictive pericarditis
Hepatic, renal, or gastrointestinal: hypoalbuminaemia 
Venous abnormalities in the legs (e.g. varicose veins)
Drugs: calcium antagonists
Beri-beri (wet)",Cardiology,,,
"March 3, 2018",What are the causes of pitting unilateral lower limb edema?,"Deep venous thrombosis
Cellulitis 
Injury to the leg 
Compression of large veins by tumor or lymph nodes",Cardiology,,,
"March 3, 2018",What are the causes of lymphedema?,"Infectious (e.g. filariasis)
Malignant (tumor invasion of lymphatics)
Congenital (lymphatic development arrest)
Allergy
Milroy’s* disease (unexplained lymphoedema that
appears at puberty and is more common in
females)",Vascular Surgery,,,
"March 3, 2018",What are the causes of non-pitting lower limb edema?,"Hypothyroidism
Lymphoedema",Cardiology,,,
"March 3, 2018",What is the definition of varicose veins?,"Varicose veins are subcutaneous, permanently dilated veins 3 mm or more in diameter when measured in a standing position.",Vascular Surgery,,,
"March 3, 2018",What are the causative factors of varicose veins? ,Only previous DVT and genetic factors may be causative factors.,Vascular Surgery,,,
"March 3, 2018",What are the clinical classification of varicose veins? ,"1. Clinical classification
C0 - no visible or palpable signs
C1 - telangiectasia 
C2 - varicose veins; veins greater than 3 mm
C3 - edema
C4 - pigmentation or eczema
C5 - healed venous ulcer
C6 - active venous ulcer",Vascular Surgery,,,
"March 3, 2018",What are the etiological classification of varicose veins? ,"2. Etiology
Ep - primary
Es - secondary",Vascular Surgery,,,
"March 3, 2018",What are the anatomical classification of varicose veins? ,"3. Anatomy
As - superficial veins
Ap - perforator veins
Ad - deep veins",Vascular Surgery,,,
"March 3, 2018",What are the pathophysiological classification of varicose veins? ,"4. Pathophysiology
Pr – reflux 
Po - obstruction
Pro - reflux and obstruction",Vascular Surgery,,,
"March 3, 2018",What is the first line management of varicose veins? ,"I. Patients should be counselled on lifestyle modifications including weight loss, leg elevation, and exercise.
II. The first line treatment is graduated compression stockings. It should not be used in patients with significant concurrent peripheral arterial disease.
",Vascular Surgery,,,
"March 3, 2018",What are the operative options for varicose veins? ,"Failure to control symptoms with compression stockings is one indication for operative intervention. The primary options are phlebectomy or sclerotherapy. The other options are stripping and ligation, radiofrequency ablation, endovenous laser therapy or foamed sclerotherapy. ",Vascular Surgery,,,
"March 4, 2018",What is the differential diagnosis of a deforming polyarthropathy?,"Rheumatoid arthritis
Seronegative spondyloarthritis, particularly psoriatic arthritis, ankylosing spondylitis or Reiter’s disease
Chronic tophaceous gout
Primary generalized osteoarthritis
Erosive or inflammatory osteoarthritis",Rheumatology,,,
"March 5, 2018",What are the red flags of back pain? ,"Suggests malignant pain
keeps patient awake
Present for more than 4 weeks
Weight loss
Known malignancy

Suggests abscess
Worse at rest
Fever
Immunosuppression

Suggests cauda equina syndrome
Urinary retention or incontinence
Fecal incontinence
Saddle anesthesia
Leg weakness",Rheumatology,,,
"March 5, 2018",What are the most common causes of hemoptysis? ,"Bronchitis
Bronchial carcinoma
Bronchiectasis
Pneumonia
Pulmonary infarction
Tuberculosis",Pulmonology,,,
"March 5, 2018","List some causes of hemoptysis, other than the most common ones. ","Respiratory: Cystic fibrosis, Foreign body, and Goodpasture’s syndrome
Others: Acute left ventricular failure and Bleeding diatheses",Pulmonology,,,
"March 5, 2018",What is the average birth weight?,3.25 kg,Pediatrics,,,
"March 5, 2018",What happens in the first week of life to the weight?  ,Losing up to 10% of birth weight in the first 7 days is normal. ,Pediatrics,,,
"March 5, 2018",What is the weight at the age of 1 year and 2 years?  ,"3 and 4 times of birth weight, respectively. ",Pediatrics,,,
"March 5, 2018",What are the most common causes of death in children after the first year of life? ,Injuries and cancer,Pediatrics,,,
"March 6, 2018","What is swine ""influenza""?",H1N1 influenza,Infectious Diseases,,,
"March 6, 2018",What is the notable cause of benign acute childhood myositis?,H1N1 influenza,Infectious Diseases,,,
"March 6, 2018",When do the symptoms of benign acute childhood myositis occur typically? ,"It occurs as the acute illness is subsiding, usually 24 to 48 hours after the resolution of the presenting symptoms of fever, cough, and coryza. Full clinical recovery is typically seen in 3 to 10 days, with resolution of the elevated muscle enzymes within three weeks.",Infectious Diseases,,,
"March 6, 2018",What are the first treatment lines of nausea and vomiting in pregnancy without volume depletion? ,"1st line: dietary modifications and Ginger supplementation
2nd line: Pyridoxine (vitamin B6)  and Doxylamine (an antihistamine)",Infectious Diseases,,,
"March 6, 2018",What are the contraindications for Sildenafil?,"Hypersensitivity to sildenafil or any component of the formulation; 
Concurrent use (regularly/intermittently) of organic nitrates in any form (eg, nitroglycerin, isosorbide dinitrate)",Cardiology,,,
"March 6, 2018",What is the ideal period for folic acid supplementation?,Healthy women should begin folic acid supplementation ideally at least 3 months before conception and continue until 12 weeks' gestation. ,Gynecology,,,
"March 6, 2018",What are the recommended doses of folic acid supplementation? ,"All women of childbearing potential: 1 mg
Women with a previous pregnancy affected by an NTD: 4 mg  
Women on valproic acid or carbamazepine: 4 mg",Gynecology,,,
"March 6, 2018",What is the preventative dose of iron in non-anemic pregnant patients?,30 mg elemental iron/d by the first prenatal visit,Gynecology,,,
"March 6, 2018",What is the treatment dose of iron in anemic pregnant patients?  ,30-120 mg elemental iron/d,Gynecology,,,
"March 6, 2018",How much elemental Fe is in the different ferrous salts?  ,"325 mg ferrous gluconate = 36 mg elemental Fe
325 mg ferrous sulfate = 65 mg elemental Fe
325 mg ferrous fumarate = 106 mg elemental Fe",Gynecology,,,
"March 6, 2018",What is the average weight gain per week in pregnancy?,0.5 to 2 kg over the first trimester and about 0.25 to 0.5 kg/week thereafter,Gynecology,,,
"March 6, 2018",What is the expected weight gain in pregnancy? ,"underweight: up to 18 kg 
normal weight: up to 15 kg
overweight: up to 12 kg
obese: up to 9 kg ",Gynecology,,,
"March 6, 2018",What is the difference in symptoms between internal and external hemorrhoids?  ,"Internal hemorrhoids: painless BRBPR 
External hemorrhoids: severe perianal pain",General Surgery,,,
"March 6, 2018",What is the difference in anatomy between internal and external hemorrhoids?  ,"internal: superior hemorrhoidal veins, above dentate line, portal circulation, at 3, 7, 11 o’clock positions (patient in lithotomy position)
external: inferior hemorrhoidal veins, below dentate line, systemic circulation",General Surgery,,,
"March 6, 2018",What are the features of 3rd degree internal hemorrhoids? ,"bleed, prolapse, and require manual reduction.",General Surgery,,,
"March 6, 2018",What is the treatment for 1st degree internal hemorrhoids? ,"1st degree internal hemorrhoids are treated with high fiber diet, sitz baths, and avoidance of excessive straining. Topical corticosteroid medicines can be used but prolonged use should be avoided because they can cause atrophy of the anal skin.",General Surgery,,,
"March 6, 2018",What is the recommended daily amount of fibers to prevent constipation? ,"Constipation can be avoided by adding fibre and fluids to the diet; consuming 25 to 30 g of fibre daily is recommended, either with high-fibre foods or with commercial fibre supplements. ",General Surgery,,,
"March 6, 2018",What are the optional interventions for prolapsing internal hemorrhoids?,"Rubber band ligation, sclerotherapy, photocoagulation, haemorrhoid arterial ligation, or hemorrhoidectomy. 
",General Surgery,,,
"March 6, 2018",What is the approach to thrombosed external hemorrhoids? ,"Consider surgical decompression within first 48 h of thrombosis, otherwise medical treatment.",General Surgery,,,
"March 6, 2018",What are the initial phase therapies for active TB patients who are not pregnancy and do not have hepatic dysfunction?,"Isoniazid, Rifampicin, Pyrazinamide, and Ethambutol + Pyridoxine (to isoniazid-associated neuropathy)",Infectious Diseases,,,
"March 6, 2018",What are the continuation phase therapies for active TB patients who are not pregnancy and do not have hepatic dysfunction?,Isoniazid and Rifampicin + Pyridoxine (to isoniazid-associated neuropathy),Infectious Diseases,,,
"March 6, 2018",How long is the therapeutic course of TB antibiotics?,"The initial phase is 8 weeks in duration. 
The continuation phase is 18 weeks in duration.",Infectious Diseases,,,
"March 6, 2018",What are the medical options for uncomplicated brucellosis?,"Oral Doxycycline for 6 weeks + (IM Gentamicin or Streptomycin for two weeks) or oral Rifampicin for 6 weeks 
For pregnant patients, use Rifampicin orally for 6 weeks. Add Trimethoprim/Sulfamethoxazole as an alternative to monotherapy or for children. ",Infectious Diseases,,,
"March 6, 2018",How relapses of brucellosis should be treated? ,"Relapses are usually treated with the same regimen as initially used, as resistance to antimicrobials is rarely the cause.",Infectious Diseases,,,
"March 6, 2018",What is the quadruple therapy for H. pylori eradication?,PPI + Bismuth + Metronidazole + Tetracycline (7 days),Infectious Diseases,,,
"March 6, 2018",What is the triple therapy for H. pylori eradication?,PPI + Clarithromycin  + Metronidazole or Amoxicillin  (14 days),Infectious Diseases,,,
"March 6, 2018",List 5 proton pump inhibitors.,"Lansoprazole, omeprazole, pantoprazole, rabeprazole, and esomeprazole ",Gastroenterology,,,Yes
"March 6, 2018",When should non-absorbable sutures removed? ," Face and scalp - 5 days
 Limbs - 7 to 10 days
 Trunk and back - 10 to 14 days.",General Surgery,,,
"March 6, 2018",What is the standard ECG recording speed?,25 mm/sec,Cardiology,,,
"March 6, 2018",What is the standard ECG calibration?,10 mm/mV,Cardiology,,,
"March 6, 2018",What is the six-second technique to determine the heart rate? ,Simply count the number of complete cardiac complexes in six seconds and multiply by ten.,Cardiology,,,
"March 6, 2018",What is the typical appearance of the P wave in lead II in a normal heart?,Rounded and upright,Cardiology,,,
"March 6, 2018",What is the normal range of the PR Interval?,0.12 - 0.20 seconds,Cardiology,,,
"March 6, 2018",What is the normal range of the QRS Complex?,0.06 - 0.10 seconds,Cardiology,,,
"March 6, 2018",Which technique is used to determine the most accurate heart rate for regular rhythms?,1500 technique,Cardiology,,,
"March 6, 2018",Which technique is used to determine the most accurate heart rate for irregular rhythms?,Six-second technique,Cardiology,,,
"March 6, 2018",What is 1st degree AV block? ,Fixed prolongation of the PR interval >0.2 seconds (or >200 milliseconds).,Cardiology,,,
"March 6, 2018",What is type I second-degree AV block?,Progressive prolongation of the PR interval with eventual loss of AV conduction for 1 beat.,Cardiology,,,
"March 6, 2018",What is type II second-degree AV block?,"Occasional loss of AV conduction for 1 beat preceded and followed by fixed, unchanging PR intervals.",Cardiology,,,
